x,y,temperature
147,1,94.363651191638
148,1,94.363618561034
149,1,94.363574840331
150,1,94.363516502541
151,1,94.363438980263
152,1,94.363336384229
153,1,94.363201153036
154,1,94.363023619164
155,1,94.362791473515
156,1,94.362489107477
157,1,94.362096807635
158,1,94.361589773835
159,1,94.360936926005
160,1,94.360099459023
161,1,94.359029097575
162,1,94.357665994209
163,1,94.355936203261
164,1,94.35374865047
165,1,94.350991502201
166,1,94.34752781842
167,1,94.343190348455
168,1,94.337775296503
169,1,94.331034842254
170,1,94.322668147512
171,1,94.312310507501
172,1,94.299520208885
173,1,94.283762525719
174,1,94.264390105733
175,1,94.240618752142
176,1,94.211497260749
177,1,94.175869483331
178,1,94.132326088048
179,1,94.07914246972
180,1,94.014197760512
